Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 63,31,"['Though', 'Mr.', 'Carlson', '’', 'show', ',', '“', 'Tucker', 'Carlson', 'Tonight', ',', '”', 'small', 'factor', 'Dominion', 'suit', ',', 'personal', 'texts', 'drawing', 'outsize', 'scrutiny', '.']",23,"['s', 'was', 'only', 'a', 'in', 'the', 'his', 'were']",8,0.26,
Sentence 64,32,"['text', 'fight', 'came', 'top', 'damaging', 'chain', 'messages', 'revealed', 'publicly', 'ahead', 'trial', ',', 'shocking', 'right', '.']",15,"['The', 'about', 'the', 'on', 'of', 'a', 'of', 'that', 'had', 'been', 'of', 'and', 'that', 'were', 'in', 'their', 'own']",17,0.53,
Sentence 65,64,"['Writing', 'one', 'producers', 'assault', 'Capitol', ',', 'Mr.', 'Carlson', 'describes', 'president', 'championed', 'show', '“', 'demonic', 'force', '”', '“', 'destroyer.', '”', 'recurring', 'theme', 'show', 'six', 'years', 'ran', 'prime', 'time', 'Fox', 'News', 'displacement', 'white', 'Americans', 'people', 'color', '.']",35,"['to', 'of', 'his', 'after', 'the', 'on', 'the', 'the', 'he', 'on', 'his', 'as', 'a', 'and', 'a', 'A', 'of', 'his', 'during', 'the', 'that', 'it', 'in', 'on', 'was', 'the', 'of', 'by', 'of']",29,0.45,
Sentence 66,50,"['Mr.', 'Carlson', 'often', 'framed', 'topics', 'news', 'part', 'larger', 'struggle', '“', 'us', '”', '“', ',', '”', 'immigrants', 'marginalized', 'groups', 'steadily', 'surely', 'taking', 'whites', 'long', ':', 'political', 'cultural', 'power', 'United', 'States', '.']",30,"['in', 'the', 'as', 'of', 'a', 'between', 'and', 'them', 'with', 'and', 'other', 'and', 'from', 'what', 'had', 'been', 'theirs', 'and', 'in', 'the']",20,0.4,
Sentence 67,19,"['attacked', 'Black', 'social', 'justice', 'activists', 'portrayed', 'immigrants', 'Central', 'America', 'blight', 'nation', '.']",12,"['He', 'and', 'from', 'as', 'a', 'on', 'the']",7,0.37,
Sentence 68,61,"['said', '2018', 'immigrants', 'make', 'country', '“', 'dirtier.', '”', 'aftermath', 'mass', 'shooting', 'El', 'Paso', 'hands', 'gunman', 'cited', 'white', 'supremacist', 'beliefs', 'manifesto', ',', 'Mr.', 'Carlson', 'declared', 'show', 'white', 'supremacy', '“', 'real', 'problem', ',', '”', 'likening', 'conspiracy', 'theory', '.']",36,"['He', 'in', 'that', 'the', 'In', 'the', 'of', 'a', 'in', 'at', 'the', 'of', 'a', 'who', 'in', 'his', 'on', 'his', 'that', 'was', 'not', 'a', 'it', 'to', 'a']",25,0.41,
Sentence 69,28,"['Monday', ',', 'New', 'York', 'Times', 'news', 'organizations', 'urged', 'judge', 'overseeing', 'Dominion', 'case', 'release', 'messages', 'redacted', '.']",16,"['On', 'The', 'and', 'other', 'the', 'the', 'to', 'some', 'of', 'the', 'that', 'were']",12,0.43,
Sentence 70,15,"['Jeremy', 'W.', 'Peters', 'covers', 'media', 'intersection', 'politics', ',', 'law', 'culture', '.']",11,"['and', 'its', 'with', 'and']",4,0.27,
Sentence 71,27,"['author', '“', 'Insurgency', ':', 'Republicans', 'Lost', 'Party', 'Got', 'Everything', 'Ever', 'Wanted.', '”', 'contributor', 'MSNBC', '.']",15,"['He', 'is', 'the', 'of', 'How', 'Their', 'and', 'They', 'He', 'is', 'a', 'to']",12,0.44,
Sentence 72,18,"['@', 'jwpetersnyt', '•', 'Facebook', 'Michael', 'S.', 'Schmidt', 'Washington', 'correspondent', 'covering', 'national', 'security', 'federal', 'investigations', '.']",15,"['is', 'a', 'and']",3,0.17,
Sentence 73,37,"['part', 'two', 'teams', 'Pulitzer', 'Prizes', '2018', '—', 'one', 'reporting', 'workplace', 'sexual', 'harassment', 'coverage', 'President', 'Trump', 'campaign', '’', 'ties', 'Russia', '.']",20,"['He', 'was', 'of', 'that', 'won', 'in', 'for', 'on', 'and', 'the', 'other', 'for', 'of', 'and', 'his', 's', 'to']",17,0.46,
Sentence 74,17,"['@', 'NYTMike', 'Jim', 'Rutenberg', 'writer', 'large', 'Times', 'Sunday', 'magazine', '.']",10,"['is', 'a', 'at', 'for', 'The', 'and', 'the']",7,0.41,
Sentence 75,17,"['previously', 'media', 'columnist', ',', 'White', 'House', 'reporter', 'national', 'political', 'correspondent', '.']",11,"['He', 'was', 'the', 'a', 'and', 'a']",6,0.35,
Sentence 76,23,"['part', 'team', 'Pulitzer', 'Prize', 'Public', 'Service', '2018', 'exposing', 'sexual', 'harassment', 'abuse', '.']",12,"['He', 'was', 'of', 'the', 'that', 'won', 'the', 'for', 'in', 'for', 'and']",11,0.48,
Sentence 77,3,"['@', 'jimrutenberg', 'Advertisement']",3,[],0,0.0,
