Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 47,44,"['Rhythm', '+', 'Flow', 'France', ':', 'Season', '2', '(', 'Netflix', 'Series', ')', 'Netflix', ':', 'fresh', 'batch', 'aspiring', 'artists', 'competes', '100,000', 'euro', 'prize', 'claim', 'French', 'rap', 'fame', 'competition', 'judged', 'Niska', ',', 'Shay', 'SCH', '.']",32,"['From', 'A', 'of', 'for', 'a', 'and', 'the', 'to', 'in', 'this', 'by', 'and']",12,0.27,
Sentence 48,21,"['Working', ':', 'Day', '(', 'Netflix', 'Documentary', ')', 'Netflix', ':', 'brings', 'joy', 'work', '?']",13,"['What', 'We', 'Do', 'All', 'From', 'What', 'you', 'in']",8,0.38,
Sentence 49,5,"['gives', 'purpose', '?']",3,"['What', 'you']",2,0.4,
Sentence 50,6,"['makes', 'good', 'job…good', '?']",4,"['What', 'a']",2,0.33,
Sentence 51,45,"['questions', 'center', 'WORKING', ':', 'DAY', ',', 'compelling', 'documentary', 'series', 'explores', 'ways', 'find', 'meaning', 'work', 'experiences', 'struggles', 'connect', 'us', 'human', 'level', '.']",21,"['These', 'are', 'the', 'at', 'the', 'of', 'WHAT', 'WE', 'DO', 'ALL', 'a', 'that', 'the', 'in', 'which', 'we', 'in', 'our', 'and', 'how', 'our', 'and', 'on', 'a']",24,0.53,
Sentence 52,54,"['Narrated', 'President', 'Barack', 'Obama', ',', 'makes', 'appearances', 'alongside', 'everyday', 'people', 'homes', 'places', 'work', ',', 'series', 'follows', 'individuals', 'levels', 'workforce', '—', 'service', 'jobs', 'way', 'C-suite', '—', 'across', 'industries', 'home', 'care', ',', 'tech', ',', 'hospitality', '.']",34,"['by', 'who', 'in', 'their', 'and', 'of', 'the', 'at', 'all', 'of', 'the', 'from', 'all', 'the', 'up', 'to', 'the', 'the', 'of', 'and']",20,0.37,
Sentence 53,33,"['college', 'student', ',', 'Obama', 'inspired', 'Studs', 'Terkel', '’', '1974', 'book', 'Working', ',', 'revolutionized', 'conversation', 'around', 'work', 'asking', 'ordinary', 'people', 'day', '.']",21,"['As', 'a', 'was', 'by', 's', 'which', 'the', 'by', 'what', 'they', 'did', 'all']",12,0.36,
Sentence 54,37,"['series', 'brings', 'idea', 'modern', 'world', 'offering', 'intimate', ',', 'behind-the-scenes', 'portraits', 'people', '’', 'lives', 'giving', 'viewers', 'new', 'understanding', 'appreciation', 'jobs', 'day', '.']",21,"['The', 'this', 'into', 'the', 'by', 'of', 's', 'and', 'a', 'of', 'and', 'for', 'the', 'they', 'do', 'each']",16,0.43,
Sentence 55,29,"['Executive', 'produced', 'Barack', 'Michelle', 'Obama', 'directed', 'Caroline', 'Suh', ',', 'WORKING', ':', 'DAY', 'Higher', 'Ground', 'Concordia', 'Studio', 'Production', '.']",18,"['by', 'and', 'and', 'by', 'WHAT', 'WE', 'DO', 'ALL', 'is', 'a', 'and']",11,0.38,
Sentence 56,35,"['Kitti', 'Katz', '(', 'Netflix', 'Family', ')', 'Netflix', ':', 'Three', 'teenage', 'girls', 'transform', 'fierce', 'feline', 'superheroes', 'save', 'world', 'evil', 'Egyptian', 'goddess', '—', 'still', 'time', 'soccer', 'practice', '.']",26,"['From', 'into', 'to', 'the', 'from', 'an', 'and', 'have', 'for']",9,0.26,
