Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 79,16,"[""'re"", 'like', ',', '``', 'happens', 'time', ',', 'one', 'cares', '.', ""''""]",11,"['They', 'It', 'all', 'the', 'no']",5,0.31,
Sentence 80,25,"['``', 'many', 'aspects', 'show', 'joy', 'play', '—', 'even', 'OpenAI', 'absolutely', 'terrifying', '.', ""''""]",13,"['There', 'are', 'so', 'to', 'this', 'that', 'it', 'was', 'a', 'to', 'if', 'is']",12,0.48,
Sentence 81,10,"['got', 'job', '``', 'Nurse', 'Jackie', '.', ""''""]",7,"['I', 'this', 'on']",3,0.3,
Sentence 82,37,"['came', 'Season', '5', 'character', ""'s"", 'purpose', ',', '``', 'Let', ""'s"", 'ditzy', 'doctor', 'takes', 'clothes', 'time', 'get', 'viewers', 'back', '.', ""''""]",20,"['I', 'on', 'in', 'and', 'the', 'was', 'have', 'a', 'who', 'off', 'all', 'her', 'all', 'the', 'to', 'in', 'there']",17,0.46,
Sentence 83,36,"['think', 'Liz', 'Carly', 'writers', 'realized', ',', '``', 'Oh', ',', ""'s"", 'weird', 'person', ',', ""'s"", 'character', 'actor', ',', ""''"", 'started', 'shaping', 'character', 'strangeness', '.']",23,"['I', 'and', 'were', 'the', 'that', 'that', 'a', 'that', 'a', 'and', 'the', 'to', 'my']",13,0.36,
Sentence 84,43,"['[', ']', 'Debbie', ',', 'character', '``', 'GLOW', ',', ""''"", 'wrote', 'experience', 'little', 'bit', ',', 'playing', 'certain', 'thing', 'aesthetically', 'wanting', 'things', 'Trojan', 'Horse', 'things', 'characters', '.']",25,"['With', 'the', 'on', 'they', 'about', 'that', 'a', 'of', 'a', 'and', 'then', 'to', 'do', 'these', 'other', 'or', 'those', 'into']",18,0.42,
Sentence 85,6,"['Debbie', 'finds', 'wrestling', '.']",4,"['that', 'through']",2,0.33,
Sentence 86,34,"['Liz', 'Carly', 'literally', 'wrote', 'map', 'gave', 'opportunity', 'things', 'wanted', 'screen', ',', 'gift', '.']",13,"['and', 'out', 'that', 'for', 'me', 'and', 'me', 'the', 'to', 'do', 'all', 'the', 'that', 'I', 'to', 'do', 'on', 'which', 'is', 'such', 'a']",21,0.62,
Sentence 87,31,"['many', 'actors', ',', 'maybe', 'creative', 'person', ',', 'feels', 'like', ',', '``', 'Oh', ',', ""'m"", 'asked', '10', '%', '.']",18,"['So', 'or', 'any', 'I', 'only', 'being', 'to', 'do', 'of', 'what', 'I', 'can', 'do']",13,0.42,
Sentence 88,5,"['frustrating', '.']",2,"['This', 'is', 'so']",3,0.6,
Sentence 89,20,"[""'s"", ""'m"", 'good', ',', ""'s"", ""'m"", 'given', 'opportunity', '.', ""''""]",10,"['It', 'not', 'that', 'I', 'not', 'it', 'that', 'I', 'not', 'the']",10,0.5,
Sentence 90,19,"['``', 'GLOW', ',', ""''"", 'many', 'ways', ',', 'gave', 'opportunity', 'totally', 'changed', 'life', '.']",13,"['in', 'so', 'me', 'that', 'and', 'my']",6,0.32,
